Entity,Percentage
Qatar,24.92671111
United Arab Emirates,27.59638942
Oman,34.15597234
Bahrain,37.27092502
Kuwait,42.57858952
Saudi Arabia,42.92976325
Maldives,43.13929957
Equatorial Guinea,44.64294166
Bhutan,46.92618866
India,48.18032713
Malaysia,48.37674988
Samoa,48.40332113
Afghanistan,48.46650935
China,48.47029142
Brunei,48.53396034
Pakistan,48.63393041
Gabon,48.63423515
Micronesia (country),48.74547556
French Polynesia,49.08037894
Papua New Guinea,49.12863841
Solomon Islands,49.16201026
Timor,49.21820096
Fiji,49.23605827
Paraguay,49.27653982
Palestine,49.28649684
Nigeria,49.32625945
Cote d'Ivoire,49.34258834
Jordan,49.36068627
Guam,49.36463769
Iraq,49.37694479
Vanuatu,49.40017231
Egypt,49.43782799
Yemen,49.48242189
Algeria,49.49824227
Guyana,49.51829006
Albania,49.52042114
Norway,49.54635697
Liberia,49.54762434
World,49.55572014
Comoros,49.56045563
Saint Vincent and the Grenadines,49.57411957
Bangladesh,49.5743623
Libya,49.59028172
Mauritania,49.60019764
New Caledonia,49.62209513
Indonesia,49.65805436
Philippines,49.67424777
Iran,49.71071593
Luxembourg,49.74325487
Tajikistan,49.7764294
Malta,49.77705772
Grenada,49.78203606
Suriname,49.81602671
Djibouti,49.81640428
Iceland,49.82538564
Tonga,49.83428688
Lebanon,49.83833567
Niger,49.85517298
Guinea,49.86046831
Panama,49.89148694
South Sudan,49.89534592
Bolivia,49.93761985
Cyprus,49.94014646
Chad,49.94374497
Cameroon,49.95267263
Sweden,49.95590118
Mali,49.95645826
South Korea,49.96222801
Congo,49.97721805
Cuba,49.97868892
Costa Rica,49.98616933
North Macedonia,50.00727258
Ecuador,50.02170245
Sudan,50.02376315
Peru,50.05483206
Ethiopia,50.06925951
Democratic Republic of Congo,50.10881854
Laos,50.11884374
Benin,50.11892327
Burkina Faso,50.12898457
Madagascar,50.1305938
Honduras,50.13976687
Uzbekistan,50.15083213
Togo,50.15121133
Cape Verde,50.1698433
Ghana,50.17032025
Australia,50.18277087
Somalia,50.1870235
Azerbaijan,50.18813361
Sao Tome and Principe,50.20187437
Dominican Republic,50.20583726
Mexico,50.20880006
Belize,50.21191077
Jamaica,50.24224188
Netherlands,50.24478244
Uganda,50.25811683
Venezuela,50.26112307
Denmark,50.26241155
Kenya,50.30022221
Israel,50.33014776
Slovenia,50.34442672
Zambia,50.37930569
Canada,50.38218173
Channel Islands,50.40044036
Ireland,50.40446047
Kyrgyzstan,50.41428499
Switzerland,50.45430065
Malawi,50.46127702
Chile,50.46306445
Morocco,50.47215707
Sierra Leone,50.47717308
Gambia,50.50207777
United States,50.50442726
Vietnam,50.51491769
Mongolia,50.53249028
Mauritius,50.53673605
Tanzania,50.5462204
Haiti,50.55181462
Botswana,50.57017496
Singapore,50.59025198
Tunisia,50.59784293
United Kingdom,50.65876632
Montenegro,50.66307979
Central African Republic,50.67654901
Belgium,50.68928284
Kiribati,50.69201625
Nicaragua,50.69842263
Seychelles,50.72148625
Finland,50.72152435
Trinidad and Tobago,50.73715179
Turkey,50.74973723
Germany,50.75779379
Turkmenistan,50.75981175
Greece,50.77984981
Guatemala,50.78296308
Burundi,50.78774939
Guinea-Bissau,50.79735622
Colombia,50.80032427
New Zealand,50.8263287
France,50.83268354
Czechia,50.84529044
Brazil,50.85486059
Senegal,50.87041056
Bosnia and Herzegovina,50.90671126
South Africa,50.92185697
Angola,50.96303626
Rwanda,50.96393002
Spain,50.96518516
Austria,50.96886151
Bahamas,51.03551718
Saint Lucia,51.04643686
Argentina,51.05634302
North Korea,51.08895834
Serbia,51.13593872
Myanmar,51.15752759
Mozambique,51.15974545
Japan,51.16559274
Cambodia,51.20651046
Thailand,51.2368017
Italy,51.26484952
Zimbabwe,51.29407937
Namibia,51.35080095
Slovakia,51.38577721
Bulgaria,51.38879851
Lesotho,51.44848529
Nepal,51.45671778
Romania,51.55093067
Kazakhstan,51.5672169
Eswatini,51.57183669
Uruguay,51.69195396
Poland,51.70690302
Croatia,51.79629127
Puerto Rico,51.93109181
Sri Lanka,51.9384991
Antigua and Barbuda,51.99929419
Macao,52.00139423
Moldova,52.01896122
Barbados,52.12288997
Georgia,52.25485542
United States Virgin Islands,52.33382908
Hungary,52.43024832
Portugal,52.6745188
Armenia,52.96482882
El Salvador,53.03879384
Estonia,53.14546857
Belarus,53.46624719
Russia,53.52634937
Ukraine,53.76707292
Lithuania,53.92806468
Latvia,54.07340312