Name,Type,LAT,LONG
Big Bend National Park,Public,29.2498,103.2502
Great Sands Dune National Park,Public,37.7593,-105.5852
Glacier National Park,Private,48.6832,-113.7998
Death Valley National Park ,Public,36.4838,-117.1325
Central Idaho Dark Sky Reserve ,Public,42.6349,111.8116
Katahdin Woods and Waters National Monument ,Public,45.9044,-68.9213
Grand Canyon National Park ,Public,36.2305,-112.1671
Great Basin National Park ,Public,38.9463,-114.2578
Cherry Springs State Park ,Public,41.6629,-77.8211
Stephen C. Foster State Park ,Public,30.8227,-82.3651