state,visited
Arizona,1
California,1
Colorado,1
Georgia,1
Maine,1
Montana,1
Nevada,1
Pennsylvania,1
Texas,1
Alabama,0
Alaska,0
Arkansas,0
Connecticut,0
Delaware,0
Florida,0
Hawaii,0
Idaho,1
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maryland,0
Massachusetts,0
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,0
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0