country,ppp,departures
Afghanistan,1470.004045,
Albania,7860.204879,3066625
Algeria,11757.46616,1672727.273
American Samoa,,
Andorra,,
Angola,4442.308036,3000
Anguilla,,
Antigua and Barbuda,19444.42497,
Argentina,16512.41392,5177045.455
Armenia,5314.765026,577882.3529
Aruba,35973.78051,
Australia,38501.44133,5470363.636
Austria,40925.0931,9609647.059
Azerbaijan,10015.33036,2252857.143
Bahamas,30538.51786,
Bahrain,42944.1369,4741000
Bangladesh,2132.352793,1466157.895
Barbados,15848.47741,
Belarus,11917.29726,726954.5455
Belgium,38803.39027,8667714.286
Belize,7405.065752,
Benin,1764.185497,
Bermuda,52518.94166,160750
Bhutan,5106.172293,
Bolivia,5054.148276,503863.6364
Bosnia and Herzegovina,7939.420921,
Botswana,12231.1103,
Brazil,12891.10768,5155909.091
British Virgin Islands,,144625
Brunei,81658.37408,
Bulgaria,12627.16558,3777090.909
Burkina Faso,1281.054159,
Burundi,765.7412966,26714.28571
Cambodia,2078.409742,480272.7273
Cameroon,2828.103871,
Canada,39143.23102,24025318.18
Cape Verde,4693.877059,
Cayman Islands,49903.02854,
Central African Republic,621.5698429,
Chad,1535.664354,62363.63636
Chile,17424.08456,2169305.882
China,7120.857417,45883454.55
Colombia,10030.49247,2032095.238
Comoros,1432.70977,
Congo,4836.84685,170500
Costa Rica,11667.14113,535545.4545
Cote d'Ivoire,2867.438308,
Croatia,18427.41048,2463333.333
Cuba,,211409.0909
Curacao,,
Cyprus,31264.24082,884181.8182
Czech Republic,25306.46429,6965357.143
Democratic Republic of Congo,666.3423034,50000
Denmark,43150.56519,6354952.381
Djibouti,2705.405589,
Dominica,9041.201031,
Dominican Republic,9712.40206,383818.1818
Ecuador,8846.319993,756500
Egypt,8412.906092,4103000
El Salvador,6102.953999,1125714.286
Eritrea,1631.689444,
Estonia,21008.77463,1332200
Ethiopia,902.2935599,126500
Fiji,7247.100645,104894.7368
Finland,37003.82635,6441590.909
France,35710.61493,22409318.18
French Polynesia,,78777.77778
Gabon,17283.18483,200333.3333
Gambia,1533.493488,347000
Georgia,5428.214313,1450428.571
Germany,38925.25868,81824400
Ghana,2807.276436,
Greece,26287.66086,4993666.667
Grenada,10521.53863,
Guam,,
Guatemala,6441.9662,750500
Guinea,1535.615164,
Guinea-Bissau,1428.965542,
Guyana,5328.025103,
Haiti,1638.406959,
Honduras,3746.982384,335809.5238
Hong Kong,41869.97702,74320210.53
Hungary,20885.11348,14996363.64
Iceland,38063.38873,334000
India,3584.323754,9545681.818
Indonesia,7522.15217,5481411.765
Iran,15367.0651,3466272.727
Iraq,11767.79156,
Ireland,43117.97271,5537909.091
Israel,27897.65308,3923181.818
Italy,35876.73606,25472238.1
Jamaica,8200.354787,
Japan,35195.34386,16597272.73
Jordan,8351.182902,1647526.316
Kazakhstan,16034.83986,4069157.895
Kenya,2367.296059,
Kiribati,1891.479322,
Kuwait,78925.70777,1629153.846
Kyrgyzstan,2493.929548,635150
Laos,3549.496902,2547000
Latvia,16444.61537,2393500
Lebanon,13438.65428,
Lesotho,2116.998981,
Liberia,663.1033736,
Libya,22453.12005,542333.3333
Liechtenstein,,
Lithuania,18420.40887,2321190.476
Luxembourg,85353.49586,1185050
Macao,74697.43803,983500
Macedonia,9939.835226,
Madagascar,1397.456879,39000
Malawi,928.256095,
Malaysia,19229.40114,28144600
Maldives,11030.12919,55928.57143
Mali,1695.284881,
Malta,26659.27254,257363.6364
Marshall Islands,3290.448887,
Mauritius,13642.42487,186727.2727
Mexico,15631.2154,13404409.09
Micronesia,3176.527251,
Moldova,3395.895717,89290.90909
Monaco,,
Mongolia,6962.217114,
Montenegro,12731.60529,
Morocco,5620.767997,1907681.818
Mozambique,771.3162905,
Myanmar,2675.095319,
Namibia,7546.441306,
Nauru,8491.886838,
Nepal,1778.073262,396105.2632
Netherlands,43016.21606,16349136.36
New Caledonia,,96136.36364
New Zealand,30606.56207,1720545.455
Nicaragua,3873.838924,701863.6364
Niger,809.2856916,10000
Nigeria,4120.265998,
North Korea,,
Northern Mariana Islands,,
Norway,60386.88672,4694100
Oman,42247.51748,2613000
Pakistan,3978.514832,
Palau,13053.5419,9000
Palestine,4088.520765,
Panama,13854.6727,360045.4545
Papua New Guinea,3041.443045,60000
Paraguay,6886.866245,374590.9091
Peru,8512.567437,1581409.091
Philippines,5098.959124,2192333.333
Poland,18363.97527,45392909.09
Portugal,25877.7912,10144875
Puerto Rico,32787.48333,1151181.818
Qatar,117430.6499,
Reunion,,
Romania,15089.12097,9119863.636
Russia,19243.29556,28618000
Rwanda,1142.676271,
Saint Barthlemy,,
Saint Helena,,
Saint Kitts and Nevis,21023.0893,
Saint Lucia,11529.36599,
Saint Vincent and the Grenadines,8975.824456,
Samoa,5008.725259,53823.52941
San Marino,73117.6087,
Sao Tome and Principe,2501.520462,
Saudi Arabia,45458.04374,11276918
Senegal,2050.843075,
Serbia,10728.08991,
Seychelles,19707.99248,46454.54545
Sierra Leone,1132.278106,55450
Singapore,62450.89913,5906727.273
Sint Maarten (Dutch part),36327.2319,
Slovakia,20995.36702,2977083.333
Slovenia,25775.12494,2528588.235
Solomon Islands,1970.108698,
Somalia,,
South Africa,10848.4097,
South Korea,25853.61561,10140454.55
South Sudan,2040.967832,
Spain,30931.17328,8551954.545
Sri Lanka,7288.555258,846772.7273
Sudan,3018.582713,195000
Suriname,12285.5215,
Swaziland,6718.39033,1353833.333
Sweden,39888.53266,12563578.95
Switzerland,52906.56349,11665500
Syria,,
Syrian Arab Republic,,3738125
Taiwan,,
Tajikistan,1771.325617,11171.42857
Tanzania,1861.120017,152500
Thailand,11812.36248,3746000
Timor,6998.549141,
Togo,1254.311898,
Tonga,4790.263754,
Trinidad and Tobago,24880.73147,263000
Tunisia,8873.883877,2154095.238
Turkey,16850.26294,6066181.818
Turkmenistan,8273.009155,73000
Turks and Caicos Islands,,
Tuvalu,3059.335183,2372.727273
Uganda,1302.985283,311050
Ukraine,6724.511842,15665227.27
United Arab Emirates,82916.7022,
United Kingdom,35308.4755,58666727.27
United States,47870.36897,60414952.38
United States Virgin Islands,,
Uruguay,14907.52158,1064550
Uzbekistan,3557.252697,643142.8571
Vanuatu,2760.308195,16818.18182
Vatican,,
Venezuela,15608.34807,1177909.091
Vietnam,3633.787948,
Yemen,3754.596211,
Zambia,2722.703349,
Zimbabwe,2024.666583,524105.2632